.,.,.,@,.,.,.,.,#,.,@,.,.,.,#,.,.,@,.,#,#,.,.,.,.,@,.,.,.,.,.,.,.,.,.,@,.,.,.,.,.,.,#,.,.,.,.,.,@,.,
 ,#,.,.,.,.,.,#,.,#,#,#,.,#,.,.,.,#,#,.,.,.,.,@,.,@,.,.,.,.,.,#,#,.,.,.,#,.,#,.,#,.,.,.,.,@,#,.,.,.,
., ,#,#,.,.,#,.,#,.,.,.,.,@,@,.,#,#,@,.,#,#,#,.,.,#,.,.,.,@,.,#,.,.,.,#,@,#,.,#,#,.,#,@,.,.,#,.,.,.,
.,., ,.,#,#,.,.,#,#,@,.,.,#,.,#,.,.,#,.,.,.,.,#,.,@,.,.,.,#,.,.,.,#,.,.,.,.,.,.,.,.,.,.,.,.,#,.,.,@,
.,.,@, ,.,#,.,.,#,.,.,.,.,.,.,.,.,.,#,.,.,#,.,.,#,@,.,.,.,.,.,#,.,.,#,#,@,.,.,.,#,#,#,#,.,.,#,.,.,#,
.,.,.,@, ,#,.,#,@,.,.,#,.,.,#,.,#,#,.,#,#,.,.,#,.,.,.,#,.,.,.,.,.,.,.,.,@,.,.,.,.,@,.,.,@,@,.,@,.,.,
.,#,@,@,., ,.,#,.,.,.,#,#,.,#,.,.,#,.,@,.,.,#,.,.,.,.,.,#,.,#,.,.,.,.,.,@,#,.,.,.,.,#,.,.,.,#,#,.,.,
.,#,.,.,.,., ,.,@,.,.,#,.,.,.,#,#,.,#,.,.,.,#,#,@,#,.,#,@,.,#,.,.,.,@,@,@,#,.,.,#,@,@,.,.,@,.,.,#,.,
.,.,.,#,#,@,#, ,.,@,.,#,.,.,@,.,.,.,#,#,.,@,#,.,.,@,#,.,.,@,.,#,.,@,#,@,.,#,.,.,.,.,.,@,.,#,.,.,#,.,
.,.,.,.,#,#,.,#, ,#,#,@,@,.,#,.,.,.,.,.,@,.,#,@,.,#,#,#,.,@,@,#,.,.,#,.,.,.,.,.,#,#,.,.,.,.,.,.,@,.,
.,#,#,#,.,.,.,.,., ,.,.,.,#,@,.,#,#,.,.,@,#,#,#,.,#,.,#,.,.,.,.,.,.,.,#,.,#,#,@,.,.,.,#,.,#,@,.,.,.,
.,.,.,#,.,.,.,#,.,., ,#,.,.,@,.,.,.,#,.,@,.,#,.,.,@,.,.,.,.,.,.,.,#,@,.,.,.,.,#,.,.,.,#,#,#,@,.,.,.,
@,.,.,.,.,.,.,.,@,.,#, ,#,.,.,#,#,@,.,.,.,.,#,.,.,.,.,@,.,.,.,.,#,.,.,#,@,.,.,.,.,#,#,#,.,.,#,.,.,.,
.,.,.,.,.,#,.,.,.,.,.,@, ,.,.,.,@,#,#,.,.,.,@,#,.,#,.,#,.,.,#,.,.,#,.,#,#,#,.,.,.,@,.,.,@,.,#,#,.,.,
#,#,.,#,@,.,.,@,#,.,.,.,., ,#,@,#,#,#,@,.,.,.,.,.,.,#,#,@,.,.,@,@,.,#,#,.,@,.,#,#,.,.,.,@,.,#,.,#,.,
.,.,#,.,.,.,#,.,.,.,#,#,.,#, ,.,#,.,@,.,@,.,#,.,.,.,@,.,.,.,.,.,.,.,#,#,@,#,.,.,#,.,.,@,@,.,.,.,.,#,
