portNum, banner
1, timed out
2, timed out
3, timed out
4, timed out
5, timed out
6, timed out
7, timed out
8, timed out
9, timed out
10, timed out
11, timed out
12, timed out
13, timed out
14, timed out
15, timed out
16, timed out
17, timed out
18, timed out
19, timed out
20, timed out
21, 220 (vsFTPd 2.3.4)

22, SSH-2.0-OpenSSH_4.7p1 Debian-8ubuntu1

24, timed out
25, 220 metasploitable.localdomain ESMTP Postfix (Ubuntu)

26, timed out
27, timed out
28, timed out
29, timed out
30, timed out
31, timed out
32, timed out
33, timed out
34, timed out
35, timed out
36, timed out
37, timed out
38, timed out
39, timed out
40, timed out
41, timed out
42, timed out
43, timed out
44, timed out
45, timed out
46, timed out
47, timed out
48, timed out
49, timed out
50, timed out
51, timed out
52, timed out
53, timed out
54, timed out
55, timed out
56, timed out
57, timed out
58, timed out
59, timed out
60, timed out
61, timed out
62, timed out
63, timed out
64, timed out
65, timed out
66, timed out
67, timed out
68, timed out
69, timed out
70, timed out
71, timed out
72, timed out
73, timed out
74, timed out
75, timed out
76, timed out
77, timed out
78, timed out
79, timed out
80, <!DOCTYPE HTML PUBLIC "-//IETF//DTD HTML 2.0//EN">
<html><head>
<title>400 Bad Request</title>
</head><body>
<h1>Bad Request</h1>
<p>Your browser sent a request that this server could not understand.<br />
</p>
<hr>
<address>Apache/2.2.8 (Ubuntu) DAV/2 Server at metasploitable.localdomain Port 80</address>
</body></html>

81, timed out
82, timed out
83, timed out
84, timed out
85, timed out
86, timed out
87, timed out
88, timed out
89, timed out
90, timed out
91, timed out
92, timed out
93, timed out
94, timed out
95, timed out
96, timed out
97, timed out
98, timed out
99, timed out
100, timed out
101, timed out
102, timed out
103, timed out
104, timed out
105, timed out
106, timed out
107, timed out
108, timed out
109, timed out
110, timed out
111, 
112, timed out
113, timed out
114, timed out
115, timed out
116, timed out
117, timed out
118, timed out
119, timed out
120, timed out
121, timed out
122, timed out
123, timed out
124, timed out
125, timed out
126, timed out
127, timed out
128, timed out
129, timed out
130, timed out
131, timed out
132, timed out
133, timed out
134, timed out
135, timed out
136, timed out
137, timed out
138, timed out
139, timed out
140, timed out
141, timed out
142, timed out
143, timed out
144, timed out
145, timed out
146, timed out
147, timed out
148, timed out
149, timed out
150, timed out
151, timed out
152, timed out
153, timed out
154, timed out
155, timed out
156, timed out
157, timed out
158, timed out
159, timed out
160, timed out
161, timed out
162, timed out
163, timed out
164, timed out
165, timed out
166, timed out
167, timed out
168, timed out
169, timed out
170, timed out
171, timed out
172, timed out
173, timed out
174, timed out
175, timed out
176, timed out
177, timed out
178, timed out
179, timed out
180, timed out
181, timed out
182, timed out
183, timed out
184, timed out
185, timed out
186, timed out
187, timed out
188, timed out
189, timed out
190, timed out
191, timed out
192, timed out
193, timed out
194, timed out
195, timed out
196, timed out
197, timed out
198, timed out
199, timed out
200, timed out
201, timed out
202, timed out
203, timed out
204, timed out
205, timed out
206, timed out
207, timed out
208, timed out
209, timed out
210, timed out
211, timed out
212, timed out
213, timed out
214, timed out
215, timed out
216, timed out
217, timed out
218, timed out
219, timed out
220, timed out
221, timed out
222, timed out
223, timed out
224, timed out
225, timed out
226, timed out
227, timed out
228, timed out
229, timed out
230, timed out
231, timed out
232, timed out
233, timed out
234, timed out
235, timed out
236, timed out
237, timed out
238, timed out
239, timed out
240, timed out
241, timed out
242, timed out
243, timed out
244, timed out
245, timed out
246, timed out
247, timed out
248, timed out
249, timed out
250, timed out
251, timed out
252, timed out
253, timed out
254, timed out
255, timed out
256, timed out
257, timed out
258, timed out
259, timed out
260, timed out
261, timed out
262, timed out
263, timed out
264, timed out
265, timed out
266, timed out
267, timed out
268, timed out
269, timed out
270, timed out
271, timed out
272, timed out
273, timed out
274, timed out
275, timed out
276, timed out
277, timed out
278, timed out
279, timed out
280, timed out
281, timed out
282, timed out
283, timed out
284, timed out
285, timed out
286, timed out
287, timed out
288, timed out
289, timed out
290, timed out
291, timed out
292, timed out
293, timed out
294, timed out
295, timed out
296, timed out
297, timed out
298, timed out
299, timed out
300, timed out
301, timed out
302, timed out
303, timed out
304, timed out
305, timed out
306, timed out
307, timed out
308, timed out
309, timed out
310, timed out
311, timed out
312, timed out
313, timed out
314, timed out
315, timed out
316, timed out
317, timed out
318, timed out
319, timed out
320, timed out
321, timed out
322, timed out
323, timed out
324, timed out
325, timed out
326, timed out
327, timed out
328, timed out
329, timed out
330, timed out
331, timed out
332, timed out
333, timed out
334, timed out
335, timed out
336, timed out
337, timed out
338, timed out
339, timed out
340, timed out
341, timed out
342, timed out
343, timed out
344, timed out
345, timed out
